;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;REGISTRO DE EAN + SKU;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;153;EANs preenchidos;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;66%;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SKU;Código EAN;Produto;Cor;Tamanho;Material;KIT;Quantidade;Registrado no GS1?;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-PEQ-ABS-K1;7893871060647;Porta Joias;Rosa bebê;Pequeno;ABS;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-PEQ-ABS-K3;7898879696508;Porta Joias;Rosa bebê;Pequeno;ABS;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-MED-ABS-K1;7896520538245;Porta Joias;Rosa bebê;Médio;ABS;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-MED-ABS-K3;7893640139253;Porta Joias;Rosa bebê;Médio;ABS;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-ABB-PEQ-ABS-K1;7895412319290;Porta Joias;Azul bebê;Pequeno;ABS;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-ABB-PEQ-ABS-K3;7898048893165;Porta Joias;Azul bebê;Pequeno;ABS;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-ABB-MED-ABS-K1;7896980447576;Porta Joias;Azul bebê;Médio;ABS;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-ABB-MED-ABS-K3;7892417268417;Porta Joias;Azul bebê;Médio;ABS;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-PEQ-ABS-K1;7892331356436;Porta Joias;Roxo;Pequeno;ABS;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-PEQ-ABS-K3;7897744552802;Porta Joias;Roxo;Pequeno;ABS;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-MED-ABS-K1;7899576738454;Porta Joias;Roxo;Médio;ABS;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-ROX-MED-ABS-K3;7896497642006;Porta Joias;Roxo;Médio;ABS;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRN-PEQ-ABS-K1;7899642339981;Porta Joias;Branco Natural;Pequeno;ABS;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRN-PEQ-ABS-K3;7896288335124;Porta Joias;Branco Natural;Pequeno;ABS;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRN-MED-ABS-K1;7891188738617;Porta Joias;Branco Natural;Médio;ABS;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRN-MED-ABS-K3;7894834790250;Porta Joias;Branco Natural;Médio;ABS;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-PEQ-PETG-K1;7895346984830;Porta Joias;Preto;Pequeno;PETG;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-PEQ-PETG-K3;7890552661568;Porta Joias;Preto;Pequeno;PETG;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-MED-PETG-K1;7896549133629;Porta Joias;Preto;Médio;PETG;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-PRE-MED-PETG-K3;7894849496291;Porta Joias;Preto;Médio;PETG;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-PEQ-PETG-K1;7896690647136;Porta Joias;Branco Dental;Pequeno;PETG;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-PEQ-PETG-K3;7895403078182;Porta Joias;Branco Dental;Pequeno;PETG;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-MED-PETG-K1;7891465952019;Porta Joias;Branco Dental;Médio;PETG;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-MED-PETG-K3;7891832511504;Porta Joias;Branco Dental;Médio;PETG;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-PEQ-PETG-K1;7898413953371;Porta Joias;Translúcido;Pequeno;PETG;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-PEQ-PETG-K3;7890180457960;Porta Joias;Translúcido;Pequeno;PETG;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-MED-PETG-K1;7894167352521;Porta Joias;Translúcido;Médio;PETG;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
